,City,Country,Date,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
0,Ruteng,ID,1547940484,76.25,-8.61,120.46,93,8,3.51
1,Lebu,ET,1547940217,37.68,8.96,38.73,81,0,2.51
2,Kresttsy,RU,1547940488,22.79,58.25,32.52,89,88,15.59
3,Ushuaia,AR,1547938800,50,-54.81,-68.31,61,40,34.45
4,Selkirk,CA,1547938800,-14.81,50.15,-96.88,62,40,4.7
5,Upernavik,GL,1547940495,-8.13,72.79,-56.15,100,24,8.21
6,Luganville,VU,1547940497,82.5,-15.51,167.18,100,68,11.79
7,Busselton,AU,1547940330,74.94,-33.64,115.35,82,0,6.2
8,Saldanha,PT,1547940229,44.16,41.42,-6.55,96,100,7.09
9,Saint George,GR,1547938200,44.6,39.45,22.34,87,75,2.95
10,East London,ZA,1547940506,64.77,-33.02,27.91,100,92,14.14
11,Klaksvik,FO,1547938200,41,62.23,-6.59,80,56,17.22
12,Georgetown,GY,1547938800,80.6,6.8,-58.16,83,75,11.41
13,Kavieng,PG,1547940513,78.05,-2.57,150.8,100,100,10
14,Kapaa,US,1547938560,78.98,22.08,-159.32,64,20,16.11
17,Castro,CL,1547938800,68,-42.48,-73.76,64,0,5.82
18,Kodiak,US,1547938500,14,39.95,-94.76,73,1,13.87
19,Port Hardy,CA,1547938800,44.6,50.7,-127.42,81,75,3.36
20,Alofi,NU,1547938800,84.2,-19.06,-169.92,83,48,10.29
21,New Norfolk,AU,1547938800,71.6,-42.78,147.06,43,75,10.29
22,Dingle,PH,1547940648,73.14,11,122.67,99,92,9.1
23,Avarua,CK,1547938800,82.4,-21.21,-159.78,78,75,8.05
24,Axim,GH,1547940653,82.19,4.87,-2.24,100,20,5.75
25,Slave Lake,CA,1547939820,6.8,55.28,-114.77,84,90,17.22
26,Hermanus,ZA,1547940188,48.35,-34.42,19.24,92,0,5.19
28,Wellington,NZ,1547938800,73.4,-41.29,174.78,35,0,14.99
29,Tevaitoa,PF,1547940664,84.12,-16.78,-151.5,98,80,13.13
30,Necochea,AR,1547940666,67.38,-38.55,-58.74,73,0,12.01
31,Cayenne,GF,1547938800,78.8,4.94,-52.33,83,75,8.05
32,Punta Arenas,CL,1547938800,55.4,-53.16,-70.91,37,0,27.51
33,Bambous Virieux,MU,1547938800,77,-20.34,57.76,94,75,3.36
34,Bethel,US,1547938800,14,60.79,-161.76,80,90,5.82
35,Timbuktu,ML,1547940678,54.24,16.77,-3.01,31,0,10.11
36,Kaitangata,NZ,1547940680,62.25,-46.28,169.85,62,0,28.68
37,Amparafaravola,MG,1547940682,67.07,-17.68,48.22,96,56,2.73
38,Rikitea,PF,1547940310,79.94,-23.12,-134.97,100,64,10.67
39,Pangnirtung,CA,1547940687,-34.23,66.15,-65.72,61,12,3.51
40,Yellowknife,CA,1547938800,-11.21,62.45,-114.38,76,75,18.34
41,Butaritari,KI,1547940691,83.72,3.07,172.79,100,44,12.57
42,Ribeira Grande,PT,1547940693,61.35,38.52,-28.7,100,100,3.96
43,Cocoa Beach,US,1547938560,75.02,28.32,-80.61,86,1,12.75
44,Hilo,US,1547934780,78.08,19.71,-155.08,66,1,5.82
45,Khatanga,RU,1547940700,-9.71,71.98,102.47,68,64,10.11
46,Santiago de Chuco,PE,1547940703,56.54,-8.15,-78.17,55,44,0.94
48,Tazovskiy,RU,1547940707,5.55,67.47,78.7,83,76,15.26
50,Airai,TL,1547940711,75.44,-8.93,125.41,87,32,1.5
51,Camacha,PT,1547937000,62.6,33.08,-16.33,72,75,13.87
52,Palana,RU,1547940716,24.05,59.08,159.95,93,80,9.44
54,Vaini,IN,1547940720,58.47,15.34,74.49,82,0,2.51
55,Bamnet Narong,TH,1547940722,67.79,15.5,101.69,76,0,3.96
56,Harboore,DK,1547938200,30.2,56.62,8.18,92,80,1.12
57,Batemans Bay,AU,1547940319,73.5,-35.71,150.18,82,0,3.96
58,Mataura,NZ,1547940729,62.16,-46.19,168.86,66,80,26.66
59,Zhigansk,RU,1547940731,-26.94,66.77,123.37,42,56,11.45
60,Dondo,MZ,1547940733,78.36,-19.62,34.74,92,68,16.26
61,Tiksi,RU,1547940736,-46.83,71.64,128.87,0,32,2.62
62,Cidreira,BR,1547940738,69.72,-30.17,-50.22,96,100,13.69
63,Vardo,US,1547940180,35.6,39.62,-77.74,100,90,4.7
64,Narsaq,GL,1547938200,17.6,60.91,-46.05,85,76,10.78
65,Puerto Ayora,EC,1547938800,80.6,-0.74,-90.35,78,75,12.75
66,Lata,IN,1547940747,29.27,30.78,78.62,74,12,2.17
67,Pevek,RU,1547940749,-21.27,69.7,170.27,100,44,6.64
68,Bredasdorp,ZA,1547938800,53.6,-34.53,20.04,66,0,2.24
69,Saint-Louis,CH,1547938800,28.4,47.59,7.56,92,56,2.24
70,Raton,US,1547938440,48.02,36.9,-104.44,17,1,4.7
73,Ust-Ishim,RU,1547940763,6.32,57.69,71.17,80,56,5.41
74,Okato,NZ,1547940765,66.75,-39.19,173.88,90,0,15.26
75,Manzil Salim,TN,1547938800,41,35.86,8.48,80,75,2.24
76,Cocobeach,GA,1547938800,82.4,1.01,9.58,83,40,9.17
77,Saint-Philippe,CA,1547938800,-7.61,45.36,-73.48,69,90,12.75
78,Cape Town,ZA,1547938800,60.8,-33.93,18.42,59,0,21.92
79,Bluff,AU,1547940776,83.31,-23.58,149.07,54,0,9.66
80,Hobart,AU,1547938800,71.6,-42.88,147.33,43,75,10.29
81,Padang,ID,1547940780,77.73,-0.92,100.36,100,76,5.19
83,Dalbandin,PK,1547940785,52.8,28.9,64.41,91,0,11.01
85,Roald,NO,1547938200,30.2,62.58,6.12,86,75,5.82
86,Yar-Sale,RU,1547940792,1.68,66.83,70.83,89,20,10.45
87,Sabang,PH,1547940794,76.79,13.72,123.58,96,92,15.7
88,Walvis Bay,NA,1547938800,62.6,-22.95,14.51,82,0,9.17
89,Byron Bay,AU,1547938800,84.2,-28.65,153.62,69,90,4.7
90,Labuhan,ID,1547940801,76.25,-2.54,115.51,94,76,2.51
91,Cabo San Lucas,MX,1547937900,82.4,22.89,-109.91,34,5,6.93
93,Hobyo,SO,1547940807,74.04,5.35,48.53,89,0,15.03
94,Baykit,RU,1547940809,11.72,61.68,96.39,71,44,9.78
95,Les Cayes,HT,1547940811,79.22,18.19,-73.75,98,76,16.26
96,Yenagoa,NG,1547940814,75.8,4.92,6.26,92,0,6.2
97,Nikolskoye,RU,1547938800,23,59.7,30.79,92,90,11.18
98,Namibe,AO,1547940818,74.94,-15.19,12.15,100,20,5.41
99,Nogata,JP,1547938800,53.6,33.76,130.74,66,75,23.04
100,Taoudenni,ML,1547940196,40.25,22.68,-3.98,36,0,3.62
101,Albany,US,1547938440,26.06,42.65,-73.75,84,90,5.82
102,Port Alfred,ZA,1547940827,63.29,-33.59,26.89,97,68,8.43
103,Mae Sai,MM,1547938800,62.6,20.44,99.89,100,92,1.61
104,Cabedelo,BR,1547938800,78.8,-6.97,-34.84,83,0,9.17
107,Sayyan,YE,1547940838,36.65,15.17,44.32,72,0,2.06
108,Shetpe,KZ,1547940840,31.07,44.14,52.16,95,76,7.76
109,Ahipara,NZ,1547940842,73.14,-35.17,173.16,78,80,10
111,Jaciara,BR,1547940847,76.97,-15.95,-54.98,86,80,4.52
112,Turukhansk,RU,1547940849,5.42,65.8,87.96,83,48,13.13
113,Chokurdakh,RU,1547940851,-41.88,70.62,147.9,0,12,2.73
